ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,ChannelTypeDescr,Season,ChannelTypeSampledLength_m,NumberOfTransects,TransectSpacingInterval_m
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,The channel that contains the majority of flow,2006,290,11,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,2007,290,11,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,The channel that contains the lesser amount of flow,2007,290,5,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,The channel that contains the lesser amount of flow,2008,290,5,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,2008,290,11,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,side channel,The channel that contains the lesser amount of flow,2009,290,5,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,2009,290,11,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2010May17,BUFFRMFish2010May27,side channel,The channel that contains the lesser amount of flow,2010,290,5,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2010May17,BUFFRMFish2010May27,main,The channel that contains the majority of flow,2010,290,11,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2013May20,BUFFRMFish2013May29,side channel,The channel that contains the lesser amount of flow,2013,290,5,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2013May20,BUFFRMFish2013May29,main,The channel that contains the majority of flow,2013,290,11,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFrmfish2015May22,BUFFrmfish2015Jun05,Side channel,The channel that contains the lesser amount of flow,2015,290,5,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFrmfish2015May22,BUFFrmfish2015Jun05,Main,The channel that contains the majority of flow,2015,290,11,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2017May24,BUFFRMFISH2017May31,Side channel,The channel that contains the lesser amount of flow,2017,290,5,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2017May24,BUFFRMFISH2017May31,Main,The channel that contains the majority of flow,2017,290,11,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2019May22,BUFFRMFISH2019May23,side channel,The channel that contains the lesser amount of flow,2019,290,5,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2019May22,BUFFRMFISH2019May23,main,The channel that contains the majority of flow,2019,290,11,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2023May23,BUFFRMFISH2023May24,main,The channel that contains the majority of flow,2023,290,11,29
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2023May23,BUFFRMFISH2023May24,side channel,The channel that contains the lesser amount of flow,2023,290,6,29
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY30,main,The channel that contains the majority of flow,2006,440,11,44
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2007May21,BUFFRMFish2007May23,main,The channel that contains the majority of flow,2007,440,11,44
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2008May19,BUFFRMFish2008May22,main,The channel that contains the majority of flow,2008,440,11,44
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2009May19,BUFFRMFish2009May28,main,The channel that contains the majority of flow,2009,440,11,44
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2010May17,BUFFRMFish2010May26,main,The channel that contains the majority of flow,2010,440,11,44
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,main,The channel that contains the majority of flow,2013,440,11,44
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,Main,The channel that contains the majority of flow,2015,440,11,44
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,Main,The channel that contains the majority of flow,2017,440,11,44
